,STREET,CITY,ZIP,STATE,VALUATION LOW,VALUATION HIGH
0,14815 Ansford St,Hacienda Heights,91745,CA,517284,571734
1,942 Latchford Ave,Hacienda Heights,91745,CA,532160,588176
2,14838 Clark Ave,Hacienda Heights,91745,CA,512994,566994
3,841 Ridley Ave,Hacienda Heights,91745,CA,424539,484528
4,14809 Marwood St,Hacienda Heights,91745,CA,432218,477714
5,1531 Dunswell Ave,Hacienda Heights,91745,CA,546398,610338
6,948 Latchford Ave,Hacienda Heights,91745,CA,503132,561390
7,14814 Marwood St,Hacienda Heights,91745,CA,488453,539869
8,14808 Marwood St,Hacienda Heights,91745,CA,551156,609172
9,903 Ridley Ave,Hacienda Heights,91745,CA,528192,583792
10,14815 Marwood St,Hacienda Heights,91745,CA,440232,486572
11,14809 Marwood St,Hacienda Heights,91745,CA,432218,477714
12,808 Ridley Ave,Hacienda Heights,91745,CA,461044,509574
13,14823 Novak St,Hacienda Heights,91745,CA,449558,496880
14,906 Latchford Ave,Hacienda Heights,91745,CA,513151,567167
15,14821 Ansford St,Hacienda Heights,91745,CA,541104,598062
16,14832 Clark Ave,Hacienda Heights,91745,CA,602034,665406
17,14822 Clark Ave,Hacienda Heights,91745,CA,431968,477438
18,942 Latchford Ave,Hacienda Heights,91745,CA,532160,588176
19,14821 Novak St,Hacienda Heights,91745,CA,458038,506252
20,907 Ridley Ave,Hacienda Heights,91745,CA,427053,482157
21,1549 Forest Glen Dr,Hacienda Heights,91745,CA,735486,821554
22,14815 Marwood St,Hacienda Heights,91745,CA,440232,486572
23,960 Latchford Ave,Hacienda Heights,91745,CA,500887,553611
24,14808 Novak St,Hacienda Heights,91745,CA,464360,513240
25,14809 Marwood St,Hacienda Heights,91745,CA,432218,477714
26,14832 Clark Ave,Hacienda Heights,91745,CA,602034,665406
27,808 Ridley Ave,Hacienda Heights,91745,CA,461044,509574
28,14823 Novak St,Hacienda Heights,91745,CA,449558,496880
29,14815 Marwood St,Hacienda Heights,91745,CA,440232,486572
30,907 Ridley Ave,Hacienda Heights,91745,CA,427053,482157
31,942 Latchford Ave,Hacienda Heights,91745,CA,532160,588176
32,912 Latchford Ave,Hacienda Heights,91745,CA,518201,572749
33,14809 Marwood St,Hacienda Heights,91745,CA,432218,477714
34,942 Latchford Ave,Hacienda Heights,91745,CA,532160,588176
35,14853 Ansford St,Hacienda Heights,91745,CA,506647,559979
36,15743 Barletta Dr,Hacienda Heights,91745,CA,758463,838301
37,15763 Del Prado Dr,Hacienda Heights,91745,CA,768132,848988
38,3030 Leticia Dr,Hacienda Heights,91745,CA,599544,662654
39,15759 Barletta Dr,Hacienda Heights,91745,CA,757234,836942
40,15770 Del Prado Dr,Hacienda Heights,91745,CA,673866,744800
41,15745 Del Prado Dr,Hacienda Heights,91745,CA,667142,737368
42,15760 Del Prado Dr,Hacienda Heights,91745,CA,757248,836958
43,3132 Leticia Dr,Hacienda Heights,91745,CA,669342,739800
44,15712 Los Altos Dr,Hacienda Heights,91745,CA,656377,725469
45,15737 Del Prado Dr,Hacienda Heights,91745,CA,794957,878637
46,3024 Leticia Dr,Hacienda Heights,91745,CA,630453,696817
47,15760 Del Prado Dr,Hacienda Heights,91745,CA,757248,836958
48,15771 Del Prado Dr,Hacienda Heights,91745,CA,709748,784458
49,3106 Leticia Dr,Hacienda Heights,91745,CA,598622,661634
